FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,LBC_RATE
12023,1281686.126,884617.3776,1998,28,18.5,15.78,0.89,0.034,91
12027,1408911.28,563675.7766,1998,30.7,22,9.54,1.29,0.06,61
12029,1239772.687,809786.6245,1998,30.8,23,14.48,0.8,0.057,81
12031,1370331.521,909756.5798,1998,24.8,12.8,15.25,1.67,0.078,81
12033,824631.3619,881054.5827,1998,26.6,16.9,13.43,1.39,0.07,83
12035,1419083.978,819538.3368,1998,27.5,9.8,14.36,1.04,0.062,71
12037,1076837.48,817423.5247,1998,29.8,18.4,13.9,0.81,0.013,78
12039,1087116.299,898911.4128,1998,26.6,23.9,17.19,1.01,0.017,72
12041,1272333.213,827477.0658,1998,28.4,16.7,15.54,0.96,0.055,86
12043,1473964.911,547993.1469,1998,28.9,17.7,9.31,1.03,0.031,63
12045,1036391.81,822679.0985,1998,29,18.1,13.06,0.83,0.027,88
12047,1246538.941,910210.0622,1998,29.2,24.5,16.59,0.81,0.018,87
12049,1403894.266,597064.2683,1998,28.8,26.7,10.22,1.6,0.077,68
12051,1483240.652,504594.4412,1998,29.8,22.1,8.41,0.95,0.027,58
12053,1326721.959,704121.1111,1998,29.8,12.6,13.76,1.53,0.164,73
12055,1452456.606,587708.5576,1998,27,16.4,9.52,1.03,0.036,68
12057,1347964.378,637442.4355,1998,25,14.3,13.66,2.53,0.189,72
12059,969533.3415,917795.2169,1998,29.9,23.9,16.44,0.57,0.045,80
12061,1518430.276,637451.0149,1998,28,11.3,8.81,0.72,0.024,70
12063,1027167.535,916072.3147,1998,27.1,18.9,17.03,0.68,0.032,81
12065,1157367.237,891775.5316,1998,24.5,20.3,15.6,0.97,0.013,71
12067,1232027.785,850995.6519,1998,28.7,20.3,14.99,0.87,0.027,88
12069,1392522.882,736956.1657,1998,29.6,11.8,13,2.29,0.082,70
12071,1415805.915,496926.6662,1998,27.6,10.9,8.04,0.97,0.038,59
12073,1120704.524,889449.6751,1998,20.4,12.8,15.8,1.09,0.013,71
12075,1284149.804,783637.3072,1998,28.9,19.1,15.08,0.96,0.102,89
12077,1065895.274,858584.8512,1998,31.4,19.9,14.26,0.85,0.021,71
12079,1197706.143,897782.8179,1998,27.4,20.5,16.09,0.88,0.014,85
12081,1354520.322,587388.7985,1998,29.2,11.2,10.7,1.78,0.145,69
12083,1351882.5,781182.6751,1998,28.7,15.2,14.54,1.36,0.094,75
12085,1546539.95,573196.9758,1998,25.9,10.1,8.91,1.44,0.038,60
12086,1559947.256,412497.5046,1998,21,19.8,5.45,1.37,0.009,49
12087,1509482.063,366374.4287,1998,24.3,10.4,5.46,0.38,0.005,58
12089,1353263.975,938466.1847,1998,26.5,9.7,15.04,1.33,0.067,82
12091,897686.4938,890561.6098,1998,25.5,10.7,13.77,1.02,0.047,82
12093,1496127.691,599482.1044,1998,30.4,19.7,9.27,0.85,0.028,67
12095,1434312.493,715790.4362,1998,24.5,12.9,11.85,2.35,0.062,69
12097,1458954.351,669081.1707,1998,27.4,13,9.9,0.89,0.041,69
12099,1550937.483,525952.3189,1998,25.2,11,8.15,1.31,0.039,56
12101,1333385.016,677643.5449,1998,30.6,12.8,14.14,1.96,0.205,73
12103,1306601.269,631464.8623,1998,28.6,11.6,13.45,2.44,0.257,72
12105,1407428.775,648420.2335,1998,28.2,15.5,11.75,1.59,0.084,70
12107,1375351.038,829336.7268,1998,30.5,21,15.29,1.29,0.073,91
12109,1399476.564,865863.8055,1998,23.1,8.5,15.24,1.38,0.07,76
12111,1537256.297,605171.8806,1998,28.8,14.7,8.73,1.1,0.031,66
12113,856713.7604,887609.0263,1998,25.1,11.3,13.22,1.38,0.061,80
12115,1357523.061,555787.2846,1998,27.6,8.2,9.9,1.38,0.096,65
12117,1439246.64,739218.5898,1998,24.4,8.8,11.83,1.63,0.064,69
